Fold,Loss,AUC,Accuracy,Precision,Recall
1,0.13656103610992432,0.9797412157058716,0.9470574259757996,0.8938097357749939,0.8151392340660095
2,0.518150269985199,0.8836078643798828,0.7517471313476562,0.4395371973514557,0.8814277052879333
3,0.1387009471654892,0.978348433971405,0.9484372735023499,0.8871786594390869,0.8472033739089966
4,0.153560072183609,0.9779021739959717,0.9430607557296753,0.8715652823448181,0.8665196895599365
5,0.2330719381570816,0.9760427474975586,0.8761692047119141,0.5864397883415222,0.9323394894599915
6,0.2085583209991455,0.9678887128829956,0.9180685877799988,0.9209968447685242,0.6385689377784729
7,0.21525104343891144,0.9749593734741211,0.9412784576416016,0.923214852809906,0.7585996389389038
8,0.15763258934020996,0.9843587279319763,0.9435863494873047,0.8511766791343689,0.9026138186454773
9,0.1297936588525772,0.9802435636520386,0.9521999359130859,0.9468213319778442,0.7333161234855652
10,0.23045702278614044,0.9622982144355774,0.9273872375488281,0.8850300312042236,0.770859956741333
